STATION,STATION_NAME,DATE,HPCP,ONGOING_FLOOD
COOP:135315,MCGREGOR IA US,19950804 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19950804 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19950806 18:00,0.2,0
COOP:135315,MCGREGOR IA US,19950806 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19950806 21:00,0.4,0
COOP:135315,MCGREGOR IA US,19950806 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19950807 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19950808 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19950814 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19950815 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19950816 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19950818 19:00,0.2,0
COOP:135315,MCGREGOR IA US,19950828 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19950828 19:00,0.5,0
COOP:135315,MCGREGOR IA US,19950828 20:00,0.2,0
COOP:135315,MCGREGOR IA US,19950828 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19950829 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19950829 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19950829 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19950901 01:00,0,0
COOP:135315,MCGREGOR IA US,19950906 21:00,0.2,0
COOP:135315,MCGREGOR IA US,19950919 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19950919 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19950919 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19950919 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19950919 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19950919 09:00,0.2,0
COOP:135315,MCGREGOR IA US,19950919 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19950919 12:00,0.2,0
COOP:135315,MCGREGOR IA US,19950919 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19950920 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19950924 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19950924 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19950924 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19950929 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19950930 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19951001 01:00,0,0
COOP:135315,MCGREGOR IA US,19951002 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19951002 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19951003 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19951004 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19951005 17:00,0.3,0
COOP:135315,MCGREGOR IA US,19951005 18:00,0.2,0
COOP:135315,MCGREGOR IA US,19951005 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19951005 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19951005 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19951006 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19951006 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19951008 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19951018 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19951019 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19951022 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19951023 15:00,0.3,0
COOP:135315,MCGREGOR IA US,19951028 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19951028 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19951028 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19951031 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19951031 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19951031 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19951031 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19951031 22:00,0.2,0
COOP:135315,MCGREGOR IA US,19951101 01:00,0,0
COOP:135315,MCGREGOR IA US,19951101 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19951101 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19951101 12:00,0.2,0
COOP:135315,MCGREGOR IA US,19951101 13:00,0.3,0
COOP:135315,MCGREGOR IA US,19951101 14:00,0.2,0
COOP:135315,MCGREGOR IA US,19951101 15:00,0.2,0
COOP:135315,MCGREGOR IA US,19951101 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19951101 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19951101 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19951105 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19951127 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19951127 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19951127 09:00,0.2,0
COOP:135315,MCGREGOR IA US,19951127 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19951127 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19951127 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19951201 01:00,0,0
COOP:135315,MCGREGOR IA US,19951208 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19951211 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19951212 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19951214 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19960101 01:00,0,0
COOP:135315,MCGREGOR IA US,19960101 09:00,999.99,0
COOP:135315,MCGREGOR IA US,19960201 00:00,999.99,0
COOP:135315,MCGREGOR IA US,19960201 01:00,999.99,0
COOP:135315,MCGREGOR IA US,19960201 14:00,999.99,0
COOP:135315,MCGREGOR IA US,19960208 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960223 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19960226 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19960226 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19960301 01:00,0,0
COOP:135315,MCGREGOR IA US,19960304 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19960314 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19960316 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19960317 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19960317 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19960324 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19960324 09:00,0.2,0
COOP:135315,MCGREGOR IA US,19960324 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19960324 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19960325 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19960325 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19960330 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19960330 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19960401 01:00,0,0
COOP:135315,MCGREGOR IA US,19960403 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19960409 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19960414 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19960415 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960418 14:00,0.4,0
COOP:135315,MCGREGOR IA US,19960418 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19960418 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19960418 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19960419 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19960420 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19960420 05:00,0.2,0
COOP:135315,MCGREGOR IA US,19960420 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19960420 07:00,0.2,0
COOP:135315,MCGREGOR IA US,19960425 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19960429 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19960429 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19960429 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19960429 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19960429 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19960429 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19960430 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19960501 01:00,0,0
COOP:135315,MCGREGOR IA US,19960501 12:00,999.99,0
COOP:135315,MCGREGOR IA US,19960601 00:00,999.99,0
COOP:135315,MCGREGOR IA US,19960601 01:00,999.99,0
COOP:135315,MCGREGOR IA US,19960601 09:00,999.99,0
COOP:135315,MCGREGOR IA US,19960605 16:00,0.2,0
COOP:135315,MCGREGOR IA US,19960605 17:00,0.3,0
COOP:135315,MCGREGOR IA US,19960605 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19960606 00:00,0.2,0
COOP:135315,MCGREGOR IA US,19960606 01:00,0.3,0
COOP:135315,MCGREGOR IA US,19960606 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19960606 18:00,0.3,0
COOP:135315,MCGREGOR IA US,19960606 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19960606 20:00,0.2,0
COOP:135315,MCGREGOR IA US,19960606 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19960607 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19960609 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19960610 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19960610 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19960613 02:00,1.1,0
COOP:135315,MCGREGOR IA US,19960613 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19960616 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19960616 13:00,0.2,0
COOP:135315,MCGREGOR IA US,19960616 14:00,0.3,0
COOP:135315,MCGREGOR IA US,19960616 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19960616 19:00,0.4,0
COOP:135315,MCGREGOR IA US,19960616 20:00,0.5,0
COOP:135315,MCGREGOR IA US,19960616 23:00,0.3,0
COOP:135315,MCGREGOR IA US,19960617 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19960617 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960617 04:00,0.2,0
COOP:135315,MCGREGOR IA US,19960617 20:00,0.5,0
COOP:135315,MCGREGOR IA US,19960617 21:00,0.3,0
COOP:135315,MCGREGOR IA US,19960618 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19960618 01:00,0.2,0
COOP:135315,MCGREGOR IA US,19960619 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19960621 19:00,0.2,0
COOP:135315,MCGREGOR IA US,19960623 06:00,0.2,0
COOP:135315,MCGREGOR IA US,19960628 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19960629 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19960629 19:00,0.4,0
COOP:135315,MCGREGOR IA US,19960629 20:00,0.6,0
COOP:135315,MCGREGOR IA US,19960629 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19960701 01:00,0,0
COOP:135315,MCGREGOR IA US,19960708 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19960712 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19960712 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960717 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19960717 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19960723 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19960727 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19960727 19:00,0.2,0
COOP:135315,MCGREGOR IA US,19960728 02:00,0.2,0
COOP:135315,MCGREGOR IA US,19960728 13:00,0.3,0
COOP:135315,MCGREGOR IA US,19960728 14:00,0.4,0
COOP:135315,MCGREGOR IA US,19960729 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19960801 01:00,0,0
COOP:135315,MCGREGOR IA US,19960805 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19960807 02:00,0.3,0
COOP:135315,MCGREGOR IA US,19960807 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960818 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19960818 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19960818 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19960818 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19960818 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19960819 03:00,0.4,0
COOP:135315,MCGREGOR IA US,19960819 04:00,0.4,0
COOP:135315,MCGREGOR IA US,19960819 11:00,0.2,0
COOP:135315,MCGREGOR IA US,19960819 12:00,0.2,0
COOP:135315,MCGREGOR IA US,19960822 08:00,0.3,0
COOP:135315,MCGREGOR IA US,19960822 09:00,0.2,0
COOP:135315,MCGREGOR IA US,19960822 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19960901 01:00,0,0
COOP:135315,MCGREGOR IA US,19960908 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19960908 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19960920 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960920 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19960925 23:00,0.2,0
COOP:135315,MCGREGOR IA US,19960926 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19960926 19:00,0.2,0
COOP:135315,MCGREGOR IA US,19960926 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19960927 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19961001 01:00,0,0
